ID_SALES,negative,neutral,positive
CC1387A,1,0,2
CC139A,1,1,1
CC1701A,0,0,3
CC1773A,0,0,3
CC1830A,2,1,0
CC1836A,0,0,3
CC242A,0,0,3
CC2531A,2,1,0
CC2637A,1,0,3
CC2893A,0,0,3
CC2983A,1,1,2
CC3086A,0,3,0
CC3121A,2,0,1
CC3151A,0,0,3
CC3238A,0,0,3
CC3246A,0,0,3
CC3442A,0,0,3
CC3480A,1,0,2
CC3817A,0,0,3
CC3983A,0,0,3
CC4490A,0,0,3
CC4524A,0,3,0
CC4930A,1,0,2
CC712A,0,3,0
CC944A,2,1,0
CD1001A,1,1,1
CD1011A,1,2,0
CD1013A,0,0,3
CD1047A,1,0,2
CD1051A,0,1,2
CD1052A,1,0,2
CD1116T,0,0,3
CD1157A,2,1,0
CD1169A,0,1,2
CD117T,0,0,3
CD1181A,1,0,3
CD1212A,0,3,0
CD1224A,0,0,3
CD1266A,0,0,3
CD1326A,0,0,3
CD1339A,2,1,0
CD1381A,1,0,2
CD1397A,0,1,3
CD1439A,0,0,3
CD1449A,1,2,0
CD1469A,1,2,0
CD1475A,0,0,3
CD1494A,0,3,0
CD1595A,1,2,0
CD1599A,0,0,3
CD1638A,0,1,2
CD163A,1,1,1
CD1645A,1,1,1
CD1719A,0,0,3
CD1728A,0,0,3
CD1736T,0,0,3
CD1754A,3,0,0
CD1792A,1,0,2
CD1815A,0,3,0
CD1821A,0,0,3
CD1824A,0,0,3
CD1832T,1,0,2
CD1862A,3,0,0
CD1909A,0,0,3
CD1919A,0,0,3
CD1929A,0,0,3
CD1943A,0,3,0
CD1946A,0,1,2
CD1947A,1,2,0
CD1965A,2,1,0
CD1978A,0,0,3
CD1984A,1,2,0
CD1994A,1,1,1
CD2010A,0,0,3
CD2035A,0,3,0
CD2039A,1,0,2
CD2119A,0,0,3
CD2127A,1,1,1
CD2139A,0,0,3
CD2147A,0,0,3
CD2170A,1,0,2
CD2227A,1,1,1
CD2231A,0,0,3
CD2269A,0,0,3
CD2293A,0,0,3
CD2295T,0,0,3
CD231A,0,0,3
CD2333A,0,0,3
CD2376A,0,0,3
CD2420A,2,0,1
CD2424A,1,0,2
CD2437A,0,0,3
CD24A,0,0,3
CD2501A,0,0,3
CD2512A,1,1,1
CD2517T,0,0,3
CD2524A,0,0,3
CD252A,0,0,3
CD2557A,0,1,2
CD2593A,0,0,3
CD2618T,2,0,1
CD2636A,1,0,2
CD2708A,0,0,3
CD2728A,0,3,0
CD272A,0,0,3
CD2753A,0,3,0
CD2762A,1,0,2
CD2764A,1,2,0
CD2776A,0,0,4
CD2790A,1,0,3
CD2799A,0,0,3
CD2882A,1,0,2
CD2895A,0,0,3
CD2904A,0,0,3
CD2906T,3,0,0
CD292A,1,2,0
CD2957A,1,0,2
CD2969A,1,0,2
CD2972A,1,2,0
CD298A,1,1,1
CD2990A,0,0,3
CD3081A,0,0,3
CD3098A,0,2,1
CD312A,0,0,3
CD3134A,0,0,3
CD3166A,0,1,2
CD317T,0,1,2
CD3227A,1,2,0
CD3272A,0,0,3
CD3303A,1,0,2
CD3312T,0,0,3
CD3335A,1,0,2
CD3358A,0,1,2
CD3367A,0,0,3
CD3394A,2,1,0
CD3455A,2,1,0
CD3462A,3,0,0
CD3490T,0,1,2
CD3536A,0,0,3
CD3625A,1,1,1
CD3673A,2,1,0
CD3687A,1,0,2
CD3699A,0,0,3
CD3717T,0,1,2
CD3719A,2,1,0
CD3735A,1,2,0
CD3740A,1,0,2
CD3743T,0,1,2
CD3758A,1,1,1
CD3804A,0,1,2
CD3836A,1,0,2
CD3839A,1,0,2
CD3869A,0,0,3
CD3882A,1,1,1
CD3887A,0,1,2
CD3901A,1,1,1
CD391T,0,1,2
CD3961A,1,1,1
CD3964A,2,0,1
CD3967A,0,0,3
CD400A,0,2,1
CD4029A,2,1,0
CD4045A,1,1,1
CD4058A,1,0,2
CD4137A,1,2,0
CD4174A,1,1,1
CD4181A,0,0,3
CD4195A,0,1,2
CD4200A,0,0,3
CD4203T,1,0,2
CD4224A,1,1,1
CD4259A,0,2,1
CD4262A,0,0,3
CD4283A,1,0,2
CD4297A,0,2,1
CD4406T,0,1,2
CD4427A,0,0,3
CD4454A,2,0,1
CD4482A,0,1,2
CD4507A,0,2,1
CD4508A,1,1,1
CD451A,1,1,1
CD4545A,0,0,4
CD4553A,0,1,2
CD4562A,1,2,0
CD4652A,0,0,3
CD466A,1,1,1
CD4719A,1,1,1
CD4740A,0,1,2
CD4776A,0,0,3
CD4796A,3,0,0
CD4823T,1,1,2
CD4835A,1,1,1
CD4838A,0,1,2
CD4883A,1,0,2
CD4886A,0,0,3
CD493A,0,1,2
CD494A,0,0,3
CD4950A,1,1,2
CD4976T,0,0,3
CD4984A,0,0,3
CD529A,2,1,0
CD52A,0,0,3
CD558A,1,2,0
CD559A,1,1,1
CD580A,0,1,2
CD603A,0,3,0
CD62A,3,0,0
CD692A,0,0,3
CD699A,0,0,3
CD805A,1,0,2
CD836A,0,0,3
CD880A,1,1,1
CD894A,1,0,2
CD897A,2,1,0
CD901A,0,0,3
CD907T,0,2,1
CD923A,0,0,3
CD940A,1,0,2
CD953A,0,0,3
CD973A,1,0,2
CN1122T,0,0,3
CN2543T,0,0,3
CN2700A,1,0,2
CN2992A,1,2,0
CN4196A,0,0,3
CN4459A,1,0,2
CN742A,2,1,0
CN955A,1,0,2
CVP2490T,1,2,0
CVP2680T,2,1,0
CVP3651T,3,0,0
CVP3718T,2,0,1
CVP4376T,1,2,0
FN1581A,0,3,0
FN258A,2,1,0
HC1014A,0,3,0
HC1016A,0,0,3
HC101A,0,0,3
HC1029A,1,0,2
HC1036A,0,0,3
HC1039A,0,0,3
HC1072A,1,0,2
HC1073A,0,0,3
HC1077A,0,2,1
HC107A,0,3,0
HC1086A,0,0,3
HC1102A,0,0,3
HC1107A,3,0,0
HC1137A,2,1,0
HC113A,3,0,0
HC1142A,1,2,0
HC1147A,0,0,3
HC1148A,0,2,1
HC1159A,3,0,0
HC1185A,0,0,3
HC1201A,0,0,3
HC1223A,2,0,1
HC1226A,1,0,2
HC1229A,0,0,3
HC1241A,0,0,3
HC1249A,0,0,3
HC1256A,1,2,0
HC1263A,1,2,1
HC1265A,0,0,3
HC1273A,1,0,2
HC1274A,0,0,3
HC1276A,0,0,3
HC1280A,1,2,0
HC1288A,1,2,0
HC1293A,2,1,0
HC1296A,1,0,2
HC12A,0,3,0
HC1310A,0,0,3
HC1323A,0,0,3
HC1329A,0,0,3
HC1331A,0,0,3
HC1332A,1,1,1
HC1336A,0,0,3
HC1363A,0,0,3
HC1364A,0,3,0
HC1367A,0,0,3
HC1374A,2,1,0
HC1384A,0,3,0
HC1385A,0,0,3
HC1394A,1,2,0
HC1416A,0,0,3
HC1424A,2,2,0
HC143A,1,2,0
HC1442A,0,0,3
HC1446A,1,0,2
HC1451A,2,0,1
HC1453T,1,1,1
HC1477A,0,0,3
HC1483A,0,0,3
HC1499A,0,0,3
HC14A,1,2,0
HC1500A,1,2,0
HC1503A,1,0,2
HC1510A,0,1,3
HC1521A,0,3,0
HC1529A,1,1,1
HC1544A,1,2,0
HC155A,1,1,1
HC1565A,0,0,3
HC157A,0,0,3
HC1582A,1,0,2
HC1601A,2,0,1
HC1603A,0,1,3
HC160A,1,1,1
HC1611A,0,3,0
HC1618A,0,1,2
HC1622A,1,1,1
HC1640A,2,2,0
HC1669A,0,0,3
HC1689A,3,0,0
HC1690A,2,1,0
HC1695A,0,1,2
HC169A,1,1,1
HC1720A,1,0,2
HC1723A,1,0,2
HC1724A,2,1,0
HC1735A,0,3,0
HC1741A,0,0,3
HC1777A,2,1,0
HC1789A,0,1,2
HC1793A,0,2,1
HC1801A,0,1,2
HC1807T,0,3,0
HC182A,1,0,2
HC1831A,1,0,2
HC1850A,1,2,0
HC1858A,1,2,0
HC1861A,0,3,0
HC1867A,1,1,1
HC1872A,1,0,2
HC1875A,1,1,1
HC1878A,0,1,2
HC1887A,2,1,0
HC1905A,1,2,0
HC1907A,1,1,1
HC190A,1,0,2
HC1925A,1,0,2
HC193A,2,1,0
HC1963A,1,0,2
HC1966A,1,0,2
HC199A,0,1,2
HC2000A,1,2,0
HC2008A,0,0,3
HC201A,0,1,2
HC2022A,1,1,2
HC2034A,0,2,1
HC204A,0,0,3
HC205A,1,2,0
HC2060A,0,2,1
HC2073A,0,3,0
HC2077A,1,1,1
HC2078A,0,0,3
HC2080A,0,0,3
HC208A,2,1,0
HC2096A,0,0,3
HC2108A,0,0,3
HC2113A,1,0,3
HC2130T,0,2,1
HC2132A,0,2,1
HC2143A,2,1,0
HC2151A,1,0,2
HC2171A,0,3,0
HC2189A,2,1,0
HC2204A,0,1,2
HC2223T,0,1,2
HC2241A,2,0,1
HC2244A,0,0,3
HC2247A,0,2,1
HC224A,0,1,2
HC225A,0,0,3
HC2264A,1,0,2
HC2265A,2,0,1
HC2267A,0,0,3
HC2268A,2,0,1
HC2274A,0,1,3
HC2287A,1,0,2
HC2297A,1,0,2
HC2298A,1,0,2
HC2309A,0,1,2
HC2311A,0,0,3
HC2325A,0,0,4
HC233A,3,0,0
HC2341A,0,1,2
HC2347A,2,0,2
HC2353A,1,2,0
HC2360A,0,0,3
HC2380A,1,0,2
HC2406A,1,0,2
HC2413A,1,2,0
HC2440A,1,1,1
HC2444A,0,1,2
HC2455A,2,1,0
HC2456A,0,0,3
HC2471A,1,0,2
HC2487A,0,0,3
HC2509A,2,1,0
HC2516A,0,1,2
HC2540A,1,2,1
HC2553A,1,2,0
HC2554A,0,0,3
HC2577A,0,0,3
HC2598A,0,0,3
HC2600A,1,0,2
HC2606A,0,1,3
HC2625A,0,0,3
HC2647A,0,0,3
HC2649A,0,0,3
HC2650A,0,1,2
HC2654A,1,1,1
HC2666A,0,0,3
HC2669A,0,0,3
HC2678A,0,0,3
HC267A,1,2,0
HC2681A,0,0,3
HC2689A,0,3,0
HC2695A,1,0,2
HC2696A,0,0,3
HC2698A,0,0,3
HC269A,1,1,1
HC2723A,1,2,0
HC2740A,1,0,3
HC2741A,0,0,3
HC2760A,1,0,2
HC2770A,1,1,1
HC2771A,2,0,1
HC2780A,2,1,0
HC2788A,0,0,3
HC2796T,0,1,2
HC2807A,1,1,1
HC280A,0,0,4
HC2813A,0,1,2
HC2826A,1,0,2
HC2830A,1,0,2
HC2844A,0,0,3
HC2845A,0,3,0
HC2848A,1,0,2
HC2857A,0,2,1
HC2861A,0,1,2
HC2867A,0,0,3
HC2870A,1,0,2
HC2878A,0,0,4
HC2886A,0,1,2
HC2890A,0,2,1
HC2899A,2,0,1
HC2902A,2,1,0
HC2911A,1,0,2
HC2914A,0,0,3
HC2917A,1,0,2
HC2933A,1,1,1
HC293A,0,3,0
HC2958A,0,2,1
HC2959A,1,2,0
HC3000A,0,2,1
HC3006A,1,1,1
HC3007A,0,0,3
HC3009A,1,0,2
HC3017A,0,0,3
HC3028A,0,1,2
HC3032A,1,1,1
HC3037A,0,2,1
HC3050A,1,0,2
HC3066A,0,1,2
HC3095A,1,1,1
HC3097T,0,0,3
HC3133A,0,1,2
HC3135A,2,1,0
HC3143A,0,1,2
HC3144A,0,3,0
HC3146A,2,0,1
HC3157A,1,1,1
HC3171A,0,3,0
HC3175A,0,1,2
HC3179A,0,0,3
HC3190A,0,0,3
HC3193A,0,1,2
HC3194A,0,2,1
HC3196A,0,1,2
HC3203A,3,0,1
HC3230A,1,3,0
HC3231A,0,1,2
HC323A,0,3,0
HC3242A,0,2,1
HC324A,1,1,1
HC3250A,1,1,1
HC3262A,0,0,3
HC3263A,1,1,1
HC3265A,1,0,2
HC3269A,0,0,3
HC3273A,0,2,1
HC3275A,0,3,0
HC3277A,1,0,2
HC3281A,0,1,2
HC3298A,0,0,3
HC3309A,3,1,0
HC3315A,1,0,2
HC3322A,0,2,1
HC3369A,3,1,0
HC336A,0,1,2
HC3385A,0,3,0
HC3415A,2,0,1
HC3419A,0,1,2
HC344A,1,1,2
HC3469A,0,1,2
HC3481A,1,1,1
HC3496A,2,1,0
HC3514A,1,2,0
HC3517A,2,1,0
HC3527A,0,0,3
HC3541A,0,0,3
HC3543A,0,2,1
HC3545A,0,1,2
HC3551A,1,1,1
HC3556A,1,0,2
HC355A,0,1,2
HC3574A,1,0,2
HC3592A,0,0,3
HC3602A,0,1,2
HC3606A,0,0,3
HC3615A,0,2,1
HC3622A,0,2,1
HC3649A,0,2,1
HC3660A,1,2,0
HC3661A,1,2,0
HC3679A,1,1,1
HC367A,1,1,1
HC3683A,0,0,3
HC3690A,3,0,0
HC3701A,2,1,0
HC370A,1,1,1
HC3757A,1,1,1
HC3759A,0,3,0
HC3781A,1,1,1
HC3783A,1,0,2
HC380A,0,2,1
HC3813A,1,2,0
HC3821A,1,2,0
HC3825A,2,1,1
HC3831A,2,0,1
HC3850A,2,1,1
HC3853A,2,1,0
HC3856A,1,2,0
HC3873A,1,2,0
HC3881A,2,1,0
HC3899A,0,1,2
HC3903A,0,0,3
HC3911A,0,1,2
HC3913A,2,0,1
HC3938A,1,0,2
